prompt,completion
hey,0
heyy,0
hi,0
hy,0
hello,0
hell0,0
hellooo,0
halo,0
helo,0
sup,0
supp,0
tum kaun ho,0
tgpa dikhao,0
tgpa,0
cgpa,0
maaksheet dikhao,1
show resalt,1
baccha aaj class aya tha,2
baccha aaj class mein aa gaya tha,2
baccha aaj class mein upasthit hua tha,2
aaj bachcha ne class mein pahuncha tha,2
fees counter,3
fees counter location,3
where fee counter,3
doubt fee related,3
fees kaise bhejen,3
fees itni hai,3
fee submit ho gyi,3
fee last date,3
where submit fees,3
fee kab jama karni hai,3
admission process,3
dsr building,3
dsr counter location,3
location dsr counter,3
what dsr,3
hod ka number do,4
teacher ka contact number bhejo,4
baat karni hai hod se,4
teacher se baat karni hai,4
teacher kaun hai,4
mentor kaun hai,4
hod kaun hai,4
hostel head number,4
contact no. hod,4
mentor ka number batao,4
mentor ko call karo,4
phone number warden,4
phone number mentor,4
aaj class thi ki nahi,5
lectures the aaj,5
classes lagi thi aaj,5
class lagi thi kya aaj,5
aaj class hogi kya,5
class ki timing kya hai,5
halp,6
kaise use karein,6
how to use it,6
usage example,6
iska upyog kaise karein,6
ise kaise upyog karein,6
ye kaam kaise karta hai,6
sahaayta,6
sahaayta kariye,6
mereko madad kar,6
