step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,9,1,0.6608305370807648,0.0,0.0,0.6765297991037369,0.0,0.0
2,18,2,0.7052846479415894,0.0,0.0,,,
3,35,3,0.4266603590548038,0.0,0.0,,,
4,44,4,0.560452147424221,0.0,0.0,,,
5,53,5,0.5183165180683136,0.0,0.0,,,
6,70,6,0.20176752805709838,1.0,1.0,,,
7,79,7,0.36965390205383303,0.0,0.0,,,
8,88,8,0.44627431452274324,0.0,0.0,,,
9,97,9,0.30639325678348545,0.0,0.0,0.9078540170192719,0.0,0.0
10,106,10,0.4392015901207924,0.0,0.0,,,
11,115,11,0.25994721561670303,0.0,0.0,,,
12,124,12,0.33468575894832614,0.0,0.0,,,
13,133,13,0.20572468698024748,0.0,0.0,,,
14,142,14,1.4794235935807227,0.0,0.0,,,
15,151,15,0.3712494349479675,0.0,0.0,,,
16,168,16,0.5361076515913009,0.0,0.0,,,
17,177,17,0.17175616055727005,1.0,1.0,0.43521265596151354,0.0,0.0
18,194,18,0.756225282549858,0.0,0.0,,,
19,203,19,0.15029107213020326,1.0,1.0,,,
20,228,20,0.26597291688124336,0.0,0.0,,,
21,237,21,0.08613988026976585,1.0,1.0,,,
22,246,22,0.7007339024543762,0.0,0.0,,,
23,255,23,0.9188129451870918,0.0,0.0,,,
24,264,24,0.3077149045467377,0.0,0.0,,,
25,281,25,0.13712072402238845,1.0,1.0,0.1986971753835678,1.0,1.0
26,290,26,0.33084516406059267,0.0,0.0,,,
27,299,27,0.5342814910411835,0.0,0.0,,,
28,308,28,0.3208022826910019,0.0,0.0,,,
29,317,29,0.25688670098781585,1.0,1.0,,,
30,326,30,0.25029965460300446,0.0,0.0,,,
31,343,31,0.14245968937873843,1.0,1.0,,,
32,352,32,0.3870345771312714,0.0,0.0,,,
33,361,33,0.3651716935634613,0.0,0.0,0.3443808597326279,0.0,0.0
34,370,34,0.6926106083393098,0.0,0.0,,,
35,387,35,0.17646792352199553,0.0,0.0,,,
36,396,36,0.35123170852661134,0.0,0.0,,,
37,405,37,0.24344227433204652,0.0,0.0,,,
38,414,38,0.41498976409435273,0.0,0.0,,,
39,423,39,0.2714873760938644,0.0,0.0,,,
40,432,40,0.39223216772079467,0.0,0.0,,,
41,441,41,0.22670714795589447,1.0,1.0,0.36730236768722535,0.0,0.0
42,450,42,0.17732587218284607,1.0,1.0,,,
43,459,43,0.27922494530677794,0.0,0.0,,,
44,468,44,0.3869971776008606,0.0,0.0,,,
45,485,45,0.11282883010804652,1.0,1.0,,,
46,502,46,0.10447660714387894,1.0,1.0,,,
47,511,47,0.3187640738487244,0.0,0.0,,,
48,520,48,0.4591802096366882,0.0,0.0,,,
49,537,49,0.08927533648908138,1.0,1.0,0.4089955550432205,0.0,0.0
50,546,50,0.24092747151851654,0.0,0.0,,,
51,555,51,0.1655809187889099,1.0,1.0,,,
52,564,52,0.2952488887310028,0.0,0.0,,,
53,573,53,0.3487243324518204,0.0,0.0,,,
54,590,54,0.197753322981298,0.0,0.0,,,
55,599,55,0.6922836838662624,0.0,0.0,,,
56,616,56,0.1268135905265808,0.0,0.0,,,
57,625,57,0.19010764479637146,1.0,1.0,0.14870967663824558,0.0,0.0
58,634,58,0.22162257015705109,0.0,0.0,,,
59,643,59,0.39137578129768374,0.0,0.0,,,
60,660,60,0.20869018206372858,0.0,0.0,,,
61,669,61,0.25722047269344334,0.0,0.0,,,
62,678,62,0.7533501124382019,0.0,0.0,,,
63,687,63,0.23323187232017517,1.0,1.0,,,
64,696,64,0.21482902407646182,0.0,0.0,,,
65,713,65,0.13121348083019257,0.0,0.0,0.11882808640599252,0.0,0.0
66,738,66,0.09436850592494012,0.0,0.0,,,
67,755,67,0.24063154608011247,0.0,0.0,,,
68,764,68,0.12375595986843108,0.0,0.0,,,
69,773,69,0.24351542115211489,0.0,0.0,,,
70,782,70,0.21303933307528494,0.0,0.0,,,
71,799,71,0.15650034755468367,0.0,0.0,,,
72,808,72,0.446214839220047,0.0,0.0,,,
73,817,73,0.24999859273433683,0.0,0.0,0.2625484409928322,0.0,0.0
74,826,74,0.254078751206398,0.0,0.0,,,
75,835,75,0.2983615905046463,0.0,0.0,,,
76,844,76,0.25747548073530196,0.0,0.0,,,
77,861,77,0.13345119751989842,0.0,0.0,,,
78,870,78,0.23958447694778442,0.0,0.0,,,
79,879,79,0.19369095146656037,0.0,0.0,,,
80,888,80,0.13860347032547,1.0,1.0,,,
81,905,81,0.20444041550159453,0.0,0.0,0.24376401871442796,0.0,0.0
82,914,82,0.050811634883284565,1.0,1.0,,,
83,923,83,0.2934450495243072,0.0,0.0,,,
84,932,84,0.6809070533514023,0.0,0.0,,,
85,941,85,0.27162898540496827,0.0,0.0,,,
86,958,86,0.2650286688655615,0.0,0.0,,,
87,967,87,0.6780289620161056,0.0,0.0,,,
88,976,88,0.29032815098762516,0.0,0.0,,,
89,993,89,0.09848871201276779,1.0,1.0,0.2879595038294792,0.0,0.0
90,1002,90,0.27211473166942596,0.0,0.0,,,
91,1019,91,0.18050403520464897,0.0,0.0,,,
92,1036,92,0.16659044168889525,0.0,0.0,,,
93,1053,93,0.11619795300066471,1.0,1.0,,,
94,1070,94,0.1355887118726969,0.0,0.0,,,
95,1087,95,0.2628860519081354,0.0,0.0,,,
96,1096,96,0.26735628068447115,0.0,0.0,,,
97,1105,97,0.6526563346385956,0.0,0.0,0.26095774695277213,0.0,0.0
98,1122,98,0.09841972831636667,1.0,1.0,,,
99,1139,99,0.1627750650793314,0.0,0.0,,,
100,1148,100,0.28898324579000473,0.0,0.0,,,
101,1165,101,0.12550724610686304,1.0,1.0,,,
102,1182,102,0.10918080355972053,1.0,1.0,,,
103,1191,103,0.4376572251319885,0.0,0.0,,,
104,1208,104,0.09105834268033505,1.0,1.0,,,
105,1225,105,0.14461137041449545,0.0,0.0,0.13615841999650002,0.0,0.0
106,1234,106,0.2316163221001625,0.0,0.0,,,
107,1251,107,0.08955307941883803,1.0,1.0,,,
108,1260,108,0.24983022302389146,0.0,0.0,,,
109,1269,109,0.15568621054291726,1.0,1.0,,,
110,1278,110,0.28334714218974116,0.0,0.0,,,
111,1287,111,0.23961011625826362,0.0,0.0,,,
112,1296,112,0.13425604417920112,1.0,1.0,,,
113,1305,113,0.14456474997103214,1.0,1.0,0.1551931267231703,0.0,0.0
114,1314,114,0.27650695621967314,0.0,0.0,,,
115,1323,115,0.33627774119377135,0.0,0.0,,,
116,1340,116,0.0968560081347823,1.0,1.0,,,
117,1349,117,0.38060680583119394,0.0,0.0,,,
118,1358,118,0.44683331847190855,0.0,0.0,,,
119,1367,119,0.2240790191292763,1.0,1.0,,,
120,1376,120,0.22412877261638642,0.0,0.0,,,
121,1393,121,0.242323831692338,0.0,0.0,0.32182178556919094,0.0,0.0
122,1402,122,0.3909155762195587,0.0,0.0,,,
123,1411,123,0.20558147817850114,1.0,1.0,,,
124,1420,124,0.32610717236995695,0.0,0.0,,,
125,1429,125,0.23565018355846404,0.0,0.0,,,
126,1438,126,0.23389124900102615,1.0,1.0,,,
127,1447,127,0.2275346687436104,0.0,0.0,,,
128,1456,128,0.4314981460571289,0.0,0.0,,,
129,1465,129,0.21548262476921082,0.0,0.0,0.29561361849308015,0.0,0.0
130,1474,130,0.3517858666181564,0.0,0.0,,,
131,1483,131,0.14483959808945657,1.0,1.0,,,
132,1516,132,0.05325418239459395,1.0,1.0,,,
133,1533,133,0.1123450118303299,0.0,0.0,,,
134,1542,134,0.2649538391828537,0.0,0.0,,,
135,1551,135,0.1844717413187027,1.0,1.0,,,
136,1560,136,0.15899672746658325,1.0,1.0,,,
137,1577,137,0.10093022547662259,1.0,1.0,0.14198245137929916,1.0,1.0
138,1594,138,0.22728026423603298,0.0,0.0,,,
